type,name,label,required,appearance,relevant,calculation
start,start,,,,,
end,end,,,,,
text,outcome_conclusions,Outcome/Conclusions,false,multiline,,
select_one cd92o31,leak,Leak?,false,horizontal-compact,,
text,leak_location,Leak Location,false,,${leak} = 'yes',
decimal,peak_differential_stress,Peak Differential Stress,false,,,
decimal,peak_differential_force,Peak Differential Force,false,,,
select_one db35g43,force_units,Force Units,false,compact,,
decimal,coefficient_of_friction,Coefficient of Friction,false,,,
decimal,shear_displacement,Shear Displacement,false,,,
select_one cz56k16,shear_displacement_units,Shear Displacement Units,false,compact,,
begin_group,group_pn2ld79,Final Sample Dimensions,,,,
text,mode_of_failure,Mode of Failure,false,,,
select_one zl4gw87,sample_geometry,Sample Geometry,false,,,
decimal,maximum_final_diameter,Maximum Final Diameter,false,,${sample_geometry} = 'core',
decimal,minimum_final_diameter,Minimum Final Diameter,false,,${sample_geometry} = 'core',
select_one ik38x60,diameter_units,Diameter Units,false,compact,${sample_geometry} = 'core',
decimal,final_length,Final Length,false,,${sample_geometry} = 'core',
select_one hz7ux28,length_units,Length Units,false,compact,${sample_geometry} = 'core',
decimal,displacement,Displacement,false,,${sample_geometry} = 'core',
select_one vi6ad98,displacement_units,Displacement Units,false,compact,${sample_geometry} = 'core',
decimal,length,Length,false,,${sample_geometry} = 'cube_block',
decimal,width,Width,false,,${sample_geometry} = 'cube_block',
decimal,height,Height,false,,${sample_geometry} = 'cube_block',
select_one hy2bf71,units,Units,false,,${sample_geometry} = 'cube_block',
text,other_final_sample_geometry,Other Final Sample Geometry,false,,${sample_geometry} = 'other',
end_group,,,,,,
calculate,__version__,,,,,'vCk9X7YkC6GhAxwv85Rxyy'
