type,name,label,required,default,relevant,constraint_message,constraint,calculation
decimal,Dolomite_clast_percent,Dolomite clast percent,false,,"selected(${Clast_composition}, 'dolomite')",,,
decimal,Skeletal_clast_percent,Skeletal clast percent,false,,"selected(${Clast_composition}, 'skeletal')",,,
decimal,Wackestone_clast_percent,Wackestone clast percent,false,,"selected(${Clast_composition}, 'wackestone')",,,
decimal,Packstone_clast_percent,Packstone clast percent,false,,"selected(${Clast_composition}, 'packstone')",,,
decimal,Grainstone_clast_percent,Grainstone clast percent,false,,"selected(${Clast_composition}, 'grainstone')",,,
decimal,Boundstone_clast_percent,Boundstone clast percent,false,,"selected(${Clast_composition}, 'boundstone')",,,
decimal,Intraformational_clast_percent,Intraformational clast percent,false,,"selected(${Clast_composition}, 'intraformational')",,,
decimal,Extraformational_clast_percent,Extraformational clast percent,false,,"selected(${Clast_composition}, 'extraformational')",,,
decimal,Mono_Oligomictic_clast_percent,Mono/Oligomictic clast percent,false,,"selected(${Clast_composition}, 'mono_oligomictic')",,,
decimal,Polymictic_clast_percent,Polymictic clast percent,false,,"selected(${Clast_composition}, 'option_19')",,,
decimal,Other_clast_percent,Other clast percent,false,,"selected(${Clast_composition}, 'other')",,,
select_multiple co1jf03,Matrix_composition,Matrix composition,false,,"selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
text,Other_matrix_type_s,Other matrix type(s),false,,"selected(${Matrix_composition}, 'other')",,,
decimal,Intrusive_igneous_matrix_percent,Intrusive igneous matrix percent,false,,"selected(${Matrix_composition}, 'intrusive_igneous')",,,
decimal,Extrusive_igneous_matrix_percent,Extrusive igneous matrix percent,false,,"selected(${Matrix_composition}, 'extrusive_igneous')",,,
decimal,Metamorphic_igneous_matrix_percent,Metamorphic igneous matrix percent,false,,"selected(${Matrix_composition}, 'metamorphic')",,,
decimal,Mudstone_matrix_percent,Mudstone matrix percent,false,,"selected(${Matrix_composition}, 'mudstone')",,,
decimal,Siltstone_matrix_percent,Siltstone matrix percent,false,,"selected(${Matrix_composition}, 'siltstone')",,,
decimal,Sandstone_matrix_percent,Sandstone matrix percent,false,,"selected(${Matrix_composition}, 'sandstone')",,,
decimal,Conglomerate_matrix_percent,Conglomerate matrix percent,false,,"selected(${Matrix_composition}, 'conglomerate')",,,
decimal,Limestone_matrix_percent,Limestone matrix percent,false,,"selected(${Matrix_composition}, 'limestone')",,,
decimal,Dolomite_matrix_percent,Dolomite matrix percent,false,,"selected(${Matrix_composition}, 'dolomite')",,,
decimal,Skeletal_matrix_percent,Skeletal matrix percent,false,,"selected(${Matrix_composition}, 'skeletal')",,,
decimal,Wackestone_matrix_percent,Wackestone matrix percent,false,,"selected(${Matrix_composition}, 'wackestone')",,,
decimal,Packstone_matrix_percent,Packstone matrix percent,false,,"selected(${Matrix_composition}, 'packstone')",,,
decimal,Grainstone_matrix_percent,Grainstone matrix percent,false,,"selected(${Matrix_composition}, 'grainstone')",,,
decimal,Boundstone_matrix_percent,Boundstone matrix percent,false,,"selected(${Matrix_composition}, 'boundstone')",,,
decimal,Intraformational_matrix_percent,Intraformational matrix percent,false,,"selected(${Matrix_composition}, 'intraformational')",,,
decimal,Extraformational_matrix_percent,Extraformational matrix percent,false,,"selected(${Matrix_composition}, 'extraformational')",,,
decimal,Other_matrix_percent,Other matrix percent,false,,"selected(${Matrix_composition}, 'other')",,,
select_multiple so29n97,Volcaniclastic_type,Volcaniclastic type,false,,"selected(${lithologies}, 'volcaniclastic')",,,
text,Other_volcaniclastic_type,Other volcaniclastic type,false,,"selected(${Volcaniclastic_type}, 'other')",,,
decimal,Glass_percent,Glass percent,false,,"selected(${Volcaniclastic_type}, 'glass')",,,
decimal,Crystals_percent,Crystals percent,false,,"selected(${Volcaniclastic_type}, 'crystals')",,,
decimal,Lithic_fragments_percent,Lithic fragments percent,false,,"selected(${Volcaniclastic_type}, 'lithic_fragments')",,,
decimal,Volcanic_mudstone_percent,Volcanic mudstone percent,false,,"selected(${Volcaniclastic_type}, 'volcanic_mudstone')",,,
decimal,Volcanic_sandstone_percent,Volcanic sandstone percent,false,,"selected(${Volcaniclastic_type}, 'volcanic_sandstone')",,,
decimal,Lapillistone_percent,Lapillistone percent,false,,"selected(${Volcaniclastic_type}, 'lapillistone')",,,
decimal,Agglomerate_percent,Agglomerate percent,false,,"selected(${Volcaniclastic_type}, 'agglomerate')",,,
decimal,Volcanic_breccia_percent,Volcanic breccia percent,false,,"selected(${Volcaniclastic_type}, 'volcanic_breccia')",,,
decimal,Bentonite_percent,Bentonite percent,false,,"selected(${Volcaniclastic_type}, 'bentonite')",,,
decimal,Tuff_percent,Tuff percent,false,,"selected(${Volcaniclastic_type}, 'tuff')",,,
decimal,Welded_tuff_percent,Welded tuff percent,false,,"selected(${Volcaniclastic_type}, 'welded_tuff')",,,
decimal,Ignimbrite_percent,Ignimbrite percent,false,,"selected(${Volcaniclastic_type}, 'ignimbrite')",,,
decimal,Other_volcaniclastic_type_percent,Other volcaniclastic type percent,false,,"selected(${Volcaniclastic_type}, 'other')",,,
select_multiple gg6bk97,Evaporite_type,Evaporite type,false,,"selected(${lithologies}, 'option_4')",,,
decimal,Gypsum_anhydrite_primary_percent,Gypsum - anhydrite primary percent,false,,"selected(${Evaporite_type}, 'gypsum___anhyd')",,,
select_multiple el5ss78,Gypsum_anhydrite_primary_type,Gypsum - anhydrite primary type,false,,"selected(${Evaporite_type}, 'gypsum___anhyd')",,,
decimal,Gypsum_anhydrite_diagenetic_percent,Gypsum - anhydrite diagenetic percent,false,,"selected(${Evaporite_type}, 'gypsum___anhyd_1')",,,
select_multiple wy2is73,Gypsum_anhydrite_diagenetic_type,Gypsum - anhydrite diagenetic type,false,,"selected(${Evaporite_type}, 'gypsum___anhyd_1')",,,
decimal,Halite_primary_percent,Halite - primary percent,false,,"selected(${Evaporite_type}, 'halite___prima')",,,
select_multiple la9sa83,Halite_primary_type,Halite - primary type,false,,"selected(${Evaporite_type}, 'halite___prima')",,,
decimal,Halite_diagenetic_percent,Halite - diagenetic percent,false,,"selected(${Evaporite_type}, 'halite___diage')",,,
select_multiple dv3xg82,Halite_diagenetic_type,Halite - diagenetic type,false,,"selected(${Evaporite_type}, 'halite___diage')",,,
decimal,Phosphorite_percent,Phosphorite percent,false,,"selected(${Evaporite_type}, 'phosphorite')",,,
select_multiple mo7ce83,Phosphorite_type,Phosphorite type,false,,"selected(${Evaporite_type}, 'phosphorite')",,,
select_multiple om8xr30,Organic_Coal_Lithologies,Organic Coal Lithologies,false,,"selected(${lithologies}, 'organic_coal')",,,
decimal,Amber_percent,Amber percent,false,,"selected(${Organic_Coal_Lithologies}, 'amber')",,,
decimal,Peat_percent,Peat percent,false,,"selected(${Organic_Coal_Lithologies}, 'peat')",,,
decimal,Lignite_percent,Lignite percent,false,,"selected(${Organic_Coal_Lithologies}, 'lignite')",,,
decimal,Subbituminous_percent,Subbituminous percent,false,,"selected(${Organic_Coal_Lithologies}, 'subbituminous')",,,
decimal,Bituminous_percent,Bituminous percent,false,,"selected(${Organic_Coal_Lithologies}, 'bituminous')",,,
decimal,Coal_ball_percent,Coal ball percent,false,,"selected(${Organic_Coal_Lithologies}, 'coal_ball')",,,
decimal,Tar_percent,Tar percent,false,,"selected(${Organic_Coal_Lithologies}, 'tar')",,,
select_multiple yf18f03,Minerals_present,Minerals present,false,,,,,
text,Other_mineral_s,Other mineral(s),false,,"selected(${Minerals_present}, 'other')",,,
end_group,,,,,,,,
begin_group,group_bq3ch96,Stratification,,,${bed_package_or_covered} = 'bed' or ${bed_package_or_covered} = 'interbedded' or ${bed_package_or_covered} = 'package_succe',,,
select_multiple ve4gq38,Stratification,Stratification,false,,${bed_package_or_covered} = 'bed' or ${bed_package_or_covered} = 'interbedded' or ${bed_package_or_covered} = 'package_succe',,,
select_multiple lt4wq55,Laminae_thickness_i_select_more_than_one,"Laminae thickness (if variable, select more than one)",false,,"selected(${Stratification}, 'stratified') or selected(${Stratification}, 'option_3')",,,
select_multiple se2xd36,Lamination_character_select_more_than_one,"Lamination character (if variable, select more than one)",false,,"selected(${Stratification}, 'stratified') or selected(${Stratification}, 'option_3')",,,
select_multiple ht51j49,Bedding_thickness_i_select_more_than_one,"Bedding thickness (if variable, select more than one)",false,,"selected(${Stratification}, 'stratified') or selected(${Stratification}, 'option_3')",,,
select_multiple co9mo61,Bedding_character_i_select_more_than_one,"Bedding character (if variable, select more than one)",false,,"selected(${Stratification}, 'option_3') or selected(${Stratification}, 'stratified')",,,
select_multiple wj4dz28,Package_geometry,Package geometry,false,,${bed_package_or_covered} = 'package_succe',,,
select_one mb8sm92,Package_lateral_extent,Package lateral extent,false,,${bed_package_or_covered} = 'package_succe',,,
select_one mf0hv76,Package_bedding_trends,Package bedding trends,false,,${bed_package_or_covered} = 'package_succe',,,
text,Other_bedding_trend,Other bedding trend,false,,${Package_bedding_trends} = 'other',,,
select_multiple nt45h93,Shape_of_lower_conta_select_more_than_one,"Shape of lower contact(s) (if variable, select more than one)",false,,${bed_package_or_covered} = 'bed',,,
select_multiple bq6ko94,Character_of_lower_c_select_more_than_one,"Character of lower contact(s) (if variable, select more than one)",false,,${bed_package_or_covered} = 'bed',,,
text,Lower_contact_relief,Lower contact relief,false,,${bed_package_or_covered} = 'bed',,,
select_multiple fo9ve04,Shape_of_upper_conta_select_more_than_one,"Shape of upper contact(s) (if variable, select more than one)",false,,${bed_package_or_covered} = 'bed',,,
select_multiple rx9bj85,Character_of_upper_c_select_more_than_one,"Character of upper contact(s) (if variable, select more than one)",false,,${bed_package_or_covered} = 'bed',,,
text,upper_contact_relief,upper contact relief,false,,${bed_package_or_covered} = 'bed',,,
end_group,,,,,,,,
begin_group,group_ha0qn59,Texture,,,,,,
select_one jv85i54,principal_grain_size_clastic,Principal Grain Size (Clastic),false,,,,,
select_multiple ww4nv53,Grain_Size,Grain Size Range,false,,,,,
decimal,Clay_percent,Clay percent,false,,"selected(${Grain_Size}, 'clay')",,,
decimal,Mud_percent,Mud percent,false,,"selected(${Grain_Size}, 'mud')",,,
decimal,Silt_percent,Silt percent,false,,"selected(${Grain_Size}, 'silt')",,,
decimal,Sand_very_fine_percent,Sand - very fine percent,false,,"selected(${Grain_Size}, 'sand_v_fine')",,,
decimal,Sand_fine_lower_percent,Sand - fine lower percent,false,,"selected(${Grain_Size}, 'sand_fine_lwr')",,,
decimal,Sand_fine_upper_percent,Sand - fine upper percent,false,,"selected(${Grain_Size}, 'sand_fine_upr')",,,
decimal,Sand_medium_lower_percent,Sand - medium lower percent,false,,"selected(${Grain_Size}, 'sand_med_lwr')",,,
decimal,Sand_medium_upper_percent,Sand - medium upper percent,false,,"selected(${Grain_Size}, 'sand_med_upr')",,,
decimal,Sand_coarse_lower_percent,Sand - coarse lower percent,false,,"selected(${Grain_Size}, 'sand_coar_lwr')",,,
decimal,Sand_coarse_upper_percent,Sand - coarse upper percent,false,,"selected(${Grain_Size}, 'sand_coar_upr')",,,
decimal,Sand_very_coarse_percent,Sand - very coarse percent,false,,"selected(${Grain_Size}, 'sand_v_coar')",,,
decimal,Granule_percent,Granule percent,false,,"selected(${Grain_Size}, 'granule')",,,
decimal,Pebble_percent,Pebble percent,false,,"selected(${Grain_Size}, 'pebble')",,,
decimal,Cobble_percent,Cobble percent,false,,"selected(${Grain_Size}, 'cobble')",,,
decimal,Boulder_percent,Boulder percent,false,,"selected(${Grain_Size}, 'boulder')",,,
decimal,Maximum_clast_size_cm,Maximum clast size (cm),false,,"selected(${dunham_classification}, 'rudstone') or selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
decimal,Minimum_clast_size_cm,Minimum clast size (cm),false,,"selected(${dunham_classification}, 'rudstone') or selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
decimal,Average_clast_size_cm,Average clast size (cm),false,,"selected(${dunham_classification}, 'rudstone') or selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
select_multiple fz52a24,Matrix_size,Matrix size,false,,"selected(${dunham_classification}, 'rudstone') or selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
select_multiple en1dw51,Character,Character,false,,"selected(${dunham_classification}, 'rudstone') or selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
select_multiple dx3pb08,Bedding_grain_size_trends,Bedding grain size trends,false,,,,,
text,Bedding_grain_size_trend_description,Bedding grain size trend description,false,,,,,
select_multiple ib39f35,Package_grain_size_trends,Package grain size trends,false,,,,,
text,Package_grain_size_trend_description,Package grain size trend description,false,,,,,
select_one zh2pu30,Sorting,Sorting,false,,,,,
select_multiple tz12z20,Shape,Shape,false,,,,,
select_multiple hs69g66,Rounding,Rounding,false,,,,,
end_group,,,,,,,,
calculate,__version__,,,,,,,'vh7yWcK2czBwb22X2pKEPB'
