label,name,list name
Geological Structure,geological_structure,nc1iz96
Marker Layer,marker_layer,nc1iz96
Geological Unit,geological_unit,nc1iz96
Microstructure,microstructure,nc1iz96
Deformation Event,deformation_event,nc1iz96
Degree of Deformation,degree_of_deformation,nc1iz96
Mineral,mineral,nc1iz96
Metamorphic Facies,metamorphic_facies,nc1iz96
Observation Timing,observation_timing,nc1iz96
Type of Data,type_of_data,nc1iz96
Other,other,nc1iz96
