type,name,label,hint,required,relevant,appearance,calculation,$given_name
text,other_char_styolit,Other characterization,Characterize stylolite:,false,${meta_fabric} = 'styolite',multiline,,
select_one xt1uv18,schistosity,Schistosity,Describe schistosity type:,false,${meta_fabric} = 'schistosity',horizontal-compact,,
text,schistosity_min,Mineral(s) that define schistosity,,false,${meta_fabric} = 'schistosity',multiline,,
select_one mj2eg99,cleavage,Cleavage,Describe cleavage type:,false,${meta_fabric} = 'cleavage',horizontal-compact,,
text,intersect_lin_min,Mineral(s) that define intersection lineation,,false,${other_fabrics} = 'intersect_lin',multiline,,
text,intersection_lin_char,Intersection lineation characterization,,false,${other_fabrics} = 'intersect_lin',multiline,,
text,cleavage_min,Mineral(s) that define cleavage,,false,${meta_fabric} = 'cleavage',multiline,,
select_one jw6do33,spatial_var,Spatial variability,,false,,horizontal-compact,,
text,length_scale,Length scale?,What is the length scale of spacing?,false,${spatial_var} != '',multiline,,
select_multiple lw8uh27,kinematic_fabrics,Kinematic fabrics,,false,,,,
text,other_char_kin_fab,Other characterization,,false,"selected(${kinematic_fabrics}, 'other_kin')",multiline,,
text,sense_of_shear,Sense of shear?,"e.g. top-NW, dextral, etc.",false,,multiline,,
calculate,__version__,,,false,,,'vWMK6YMJe6VLDvaKGpDKzA',
calculate,_version_,,,,,,'vU8rzRv7a8Lt4TM6xQFGQT',__version__
